00,01,01,01,01,01,01,01,01,01,01,01,01,02
20,22,22,22,22,22,22,18,22,22,22,22,22,23
08,07,08,03,04,04,05,18,08,08,08,08,08,08
08,06,08,09,10,10,11,18,08,08,06,08,08,08
08,08,08,09,10,10,11,19,08,08,08,08,08,08
08,08,07,15,16,10,17,18,07,08,08,06,08,08
08,08,08,08,08,10,08,20,18,21,08,08,08,08
08,08,08,08,08,10,08,08,08,19,08,08,08,08
08,08,08,08,08,15,16,16,05,19,08,08,08,08
08,07,07,07,07,07,07,07,10,07,07,07,07,08
08,07,07,07,07,07,07,07,10,07,07,07,07,08
12,13,13,13,13,13,13,13,10,13,13,13,13,14
